dtcommid,dtusername,dtstart_date,dtcancel_date,direct,affiliate,cntry,com_pr,renew_ind,not_null_actions,null_actions,mailbox_created,billingcentral,renewal,email,marketing,domains,fm,ftp,mysql,weebly,support,not_null_actions_9,null_actions_9,mailbox_created_9,billingcentral_9,renewal_9,email_9,marketing_9,domains_9,website_9,fm_9,ftp_9,mysql_9,weebly_9,support_9,not_null_actions_10,null_actions_10,mailbox_created_10,billingcentral_10,renewal_10,email_10,marketing_10,domains_10,website_10,fm_10,ftp_10,mysql_10,weebly_10,support_10,add_on_mrr,domain_mrr,one_year_domains_new,com_domains_new,org_domains_new
8821870,ipg.fruitsofflowerchildc,5/29/16,Null,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0
8826583,DeletedUser-[5155472],6/2/16,7/7/16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8829020,DeletedUser-[5429811],6/5/16,7/5/17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8860175,ipg.finnappraisalscom,6/19/16,Null,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8862617,DeletedUser-[5446521],6/22/16,7/23/17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8872742,DeletedUser-[5453748],7/2/16,8/1/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0
8873802,ipg.caissecreditcom,7/4/16,Null,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8875937,DeletedUser-[5459273],7/6/16,8/5/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8876025,DeletedUser-[5431172],7/6/16,7/7/17,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8876895,DeletedUser-[5459940],7/7/16,8/6/17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8879052,ipg.arstruixcom,7/10/16,Null,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8883145,DeletedUser-[5465139],7/14/16,8/13/17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8884577,ipg.wateresolutioncom,7/15/16,7/19/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0
8885145,ipg.lamishocom,7/16/16,Null,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8885410,DeletedUser-[5465870],7/16/16,8/14/17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8893410,DeletedUser-[5470635],7/22/16,8/21/17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8894839,ipg.2waveseccom,7/24/16,7/9/17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8631086,DeletedUser-[5307020],2/5/16,2/7/17,0,1,1,1,0,86,102,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8631843,DeletedUser-[5285778],2/6/16,1/11/17,1,0,1,0,0,27,27,0,0,0,0,0,4,0,0,0,0,1,57,39,0,0,1,0,0,0,0,0,0,19,0,0,81,67,2,0,0,2,0,0,0,4,0,34,0,0,0,0,0,0,0
8632367,DeletedUser-[5334981],2/6/16,3/9/17,1,0,0,0,0,38,45,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8633638,DeletedUser-[5309151],2/8/16,2/10/17,1,0,1,1,0,82,74,0,0,2,0,0,23,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8636701,ipg.vardiolacom,2/11/16,3/12/17,0,1,0,1,0,159,167,2,0,0,18,0,11,2,24,0,0,6,6,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8649134,ipg.naturalattitudeorg,2/21/16,Null,0,1,1,0,1,32,60,0,0,0,0,0,0,7,9,0,0,0,55,44,0,0,0,0,0,0,5,7,0,0,1,1,52,43,0,0,0,0,0,0,3,10,0,0,0,2,0.8,0,0,0,0
8651961,DeletedUser-[5352343],2/23/16,3/25/17,1,0,1,1,0,105,133,2,0,0,11,0,2,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8654131,DeletedUser-[5318423],2/25/16,2/21/17,1,0,0,0,0,64,94,0,0,0,0,0,0,3,0,0,0,9,19,9,0,0,0,0,0,0,4,2,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,2,0,0,2.8,0,0,0,0
8654453,DeletedUser-[5309935],2/25/16,2/11/17,0,1,0,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8723042,ipg.veiledpathcom,3/1/16,Null,0,1,1,1,1,73,134,1,0,0,6,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8726866,DeletedUser-[5361493],3/4/16,4/4/17,0,1,0,1,0,144,182,0,0,0,0,0,11,3,1,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0
8733276,DeletedUser-[5253883],3/10/16,11/24/16,1,0,1,1,0,67,68,1,0,0,3,2,7,1,3,0,13,0,12,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
8737806,ipg.threetwentyonephotog,3/14/16,Null,1,0,1,1,1,136,156,1,0,0,5,0,10,1,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8744899,DeletedUser-[5345143],3/20/16,3/20/17,0,1,1,1,0,183,184,1,0,1,18,0,24,3,0,0,0,10,99,343,0,0,0,0,0,0,6,5,0,0,0,24,3,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
